period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
in-sample,g7_price_zscore,L2,3,1974,32,78,0.03951367781155015,1.0,0.07602339181286549,2.0,0.04691298697332058
in-sample,g7_price_zscore,L2,5,1974,32,117,0.05927051671732523,1.0,0.11190817790530846,4.0,0.07695915400512754
in-sample,g7_price_zscore,L3,1,1974,5,4,0.002026342451874367,0.8,0.00404244567963618,1.0,0.0024826216484608032
in-sample,g7_price_zscore,L3,3,1974,5,11,0.005572441742654508,1.0,0.011083123425692693,2.0,0.007429390016049919
in-sample,g7_price_zscore,L3,5,1974,5,14,0.0070921985815602835,1.0,0.014084507042253521,3.0,0.012351626964123286
in-sample,g8_layer_a_bearish,L1,1,598,136,76,0.12709030100334448,0.5588235294117647,0.20708446866485014,1.0,0.06752730883813307
in-sample,g8_layer_a_bearish,L1,3,598,136,180,0.3010033444816054,0.6176470588235294,0.40475425634436235,2.0,0.18921003450135798
in-sample,g8_layer_a_bearish,L1,5,598,136,247,0.41304347826086957,0.6838235294117647,0.5150102011075488,3.0,0.29501381178875163
in-sample,g8_layer_a_bearish,L2,1,598,32,21,0.03511705685618729,0.65625,0.06666666666666667,1.0,0.01588877855014892
in-sample,g8_layer_a_bearish,L2,3,598,32,48,0.0802675585284281,0.6875,0.1437517016063164,2.0,0.04691298697332058
in-sample,g8_layer_a_bearish,L2,5,598,32,64,0.10702341137123746,0.71875,0.18630553094544994,3.0,0.07695915400512754
in-sample,g8_layer_a_bearish,L3,1,598,5,4,0.006688963210702341,0.8,0.013266998341625208,2.0,0.0024826216484608032
in-sample,g8_layer_a_bearish,L3,3,598,5,10,0.016722408026755852,0.8,0.03276003276003276,3.0,0.007429390016049919
in-sample,g8_layer_a_bearish,L3,5,598,5,12,0.020066889632107024,0.8,0.03915171288743883,3.0,0.012351626964123286
in-sample,g9_crisis_composite_red,L1,1,8,136,3,0.375,0.022058823529411766,0.04166666666666667,1.0,0.06752730883813307
in-sample,g9_crisis_composite_red,L1,3,8,136,8,1.0,0.04411764705882353,0.08450704225352113,2.0,0.18921003450135798
in-sample,g9_crisis_composite_red,L1,5,8,136,8,1.0,0.04411764705882353,0.08450704225352113,2.0,0.29501381178875163
in-sample,g9_crisis_composite_red,L2,1,8,32,2,0.25,0.0625,0.1,1.0,0.01588877855014892
in-sample,g9_crisis_composite_red,L2,3,8,32,6,0.75,0.125,0.21428571428571427,2.0,0.04691298697332058
in-sample,g9_crisis_composite_red,L2,5,8,32,7,0.875,0.125,0.21875,2.0,0.07695915400512754
in-sample,g9_crisis_composite_red,L3,1,8,5,1,0.125,0.2,0.15384615384615385,1.0,0.0024826216484608032
