period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
forward,hy_widening,L1,1,0,24,0,0.0,0.0,0.0,,0.0672268907563025
forward,hy_widening,L1,3,0,24,0,0.0,0.0,0.0,,0.18842613664348584
forward,hy_widening,L1,5,0,24,0,0.0,0.0,0.0,,0.2938774401231826
forward,hy_widening,L2,1,0,3,0,0.0,0.0,0.0,,0.008403361344537785
forward,hy_widening,L2,3,0,3,0,0.0,0.0,0.0,,0.02499882800376696
forward,hy_widening,L2,5,0,3,0,0.0,0.0,0.0,,0.041316551170429316
forward,hy_widening,L3,1,0,1,0,0.0,0.0,0.0,,0.0028011204481792618
forward,hy_widening,L3,3,0,1,0,0.0,0.0,0.0,,0.008379844495605693
forward,hy_widening,L3,5,0,1,0,0.0,0.0,0.0,,0.013927358959231362
forward,safe_haven,L1,1,42,24,3,0.07142857142857142,0.125,0.09090909090909091,1.0,0.0672268907563025
forward,safe_haven,L1,3,42,24,9,0.21428571428571427,0.3333333333333333,0.2608695652173913,3.0,0.18842613664348584
forward,safe_haven,L1,5,42,24,10,0.23809523809523808,0.5,0.3225806451612903,3.0,0.2938774401231826
forward,safe_haven,L2,1,42,3,0,0.0,0.0,0.0,,0.008403361344537785
forward,safe_haven,L2,3,42,3,0,0.0,0.0,0.0,,0.02499882800376696
forward,safe_haven,L2,5,42,3,1,0.023809523809523808,0.6666666666666666,0.04597701149425287,6.0,0.041316551170429316
forward,safe_haven,L3,1,42,1,0,0.0,0.0,0.0,,0.0028011204481792618
forward,safe_haven,L3,3,42,1,0,0.0,0.0,0.0,,0.008379844495605693
forward,safe_haven,L3,5,42,1,1,0.023809523809523808,1.0,0.046511627906976744,7.0,0.013927358959231362
forward,corr_velocity,L1,1,53,24,5,0.09433962264150944,0.20833333333333334,0.12987012987012989,1.0,0.0672268907563025
forward,corr_velocity,L1,3,53,24,12,0.22641509433962265,0.2916666666666667,0.2549317147192716,2.0,0.18842613664348584
forward,corr_velocity,L1,5,53,24,19,0.3584905660377358,0.3333333333333333,0.34545454545454546,3.0,0.2938774401231826
forward,corr_velocity,L2,1,53,3,1,0.018867924528301886,0.3333333333333333,0.03571428571428571,1.0,0.008403361344537785
forward,corr_velocity,L2,3,53,3,3,0.05660377358490566,0.3333333333333333,0.0967741935483871,2.0,0.02499882800376696
forward,corr_velocity,L2,5,53,3,4,0.07547169811320754,0.3333333333333333,0.12307692307692308,2.5,0.041316551170429316
forward,corr_velocity,L3,1,53,1,0,0.0,0.0,0.0,,0.0028011204481792618
forward,corr_velocity,L3,3,53,1,0,0.0,0.0,0.0,,0.008379844495605693
forward,corr_velocity,L3,5,53,1,0,0.0,0.0,0.0,,0.013927358959231362
forward,composite,L1,1,33,24,5,0.15151515151515152,0.20833333333333334,0.1754385964912281,1.0,0.0672268907563025
forward,composite,L1,3,33,24,17,0.5151515151515151,0.4583333333333333,0.4850843060959793,2.0,0.18842613664348584
forward,composite,L1,5,33,24,22,0.6666666666666666,0.5833333333333334,0.6222222222222222,3.0,0.2938774401231826
forward,composite,L2,1,33,3,2,0.06060606060606061,0.6666666666666666,0.1111111111111111,1.0,0.008403361344537785
forward,composite,L2,3,33,3,4,0.12121212121212122,0.6666666666666666,0.20512820512820512,1.5,0.02499882800376696
forward,composite,L2,5,33,3,5,0.15151515151515152,0.6666666666666666,0.2469135802469136,2.0,0.041316551170429316
forward,composite,L3,1,33,1,1,0.030303030303030304,1.0,0.05882352941176471,1.0,0.0028011204481792618
forward,composite,L3,3,33,1,1,0.030303030303030304,1.0,0.05882352941176471,1.0,0.008379844495605693
forward,composite,L3,5,33,1,1,0.030303030303030304,1.0,0.05882352941176471,1.0,0.013927358959231362
