symbol,side,entry_time,entry,exit_time,exit,exit_reason,gross_bps,net_bps
AAPL,long,2026-06-03 10:05:00-04:00,315.364990234375,2026-06-03 10:10:00-04:00,315.7752740570545,target,13.009808805175549,9.009808805175549
AAPL,long,2026-06-05 10:15:00-04:00,313.57501220703125,2026-06-05 10:15:00-04:00,313.6058320864099,target,0.9828550802493119,-3.017144919750688
AAPL,long,2026-06-08 13:55:00-04:00,310.1400146484375,2026-06-08 14:00:00-04:00,307.59275011883415,stop,-82.13272745507649,-86.13272745507649
AAPL,short,2026-05-01 10:15:00-04:00,286.114990234375,2026-05-01 10:35:00-04:00,283.0226452236231,target,108.0804961745896,104.0804961745896
AAPL,short,2026-05-07 10:10:00-04:00,291.260009765625,2026-05-07 10:15:00-04:00,289.97808246168125,target,44.01315872286426,40.01315872286426
AAPL,short,2026-06-01 10:05:00-04:00,309.1899108886719,2026-06-01 10:05:00-04:00,309.1899108886719,target,-0.0,-4.0
AAPL,short,2026-06-08 13:40:00-04:00,312.75,2026-06-08 13:40:00-04:00,312.75,target,-0.0,-4.0
AAPL,short,2026-06-10 10:40:00-04:00,289.19500732421875,2026-06-10 10:40:00-04:00,289.19500732421875,target,-0.0,-4.0
AAPL,short,2026-06-18 10:55:00-04:00,299.4599914550781,2026-06-18 11:00:00-04:00,298.75342449880054,target,23.594703013393172,19.594703013393172
AAPL,short,2026-06-26 14:25:00-04:00,280.1449890136719,2026-06-26 14:30:00-04:00,281.325793474814,stop,-42.149761996439494,-46.149761996439494
AAPL,short,2026-06-26 14:40:00-04:00,280.8299865722656,2026-06-26 15:50:00-04:00,282.13186235656076,stop,-46.35814715463482,-50.35814715463482
MSFT,long,2026-04-23 13:55:00-04:00,413.739990234375,2026-04-23 15:55:00-04:00,415.75,time,48.58147177134953,44.58147177134953
MSFT,long,2026-04-29 13:05:00-04:00,422.3599853515625,2026-04-29 13:50:00-04:00,424.03257821715255,target,39.60112045647168,35.60112045647168
MSFT,long,2026-06-01 14:00:00-04:00,460.0199890136719,2026-06-01 14:10:00-04:00,461.49162011734586,target,31.990590383459416,27.990590383459416
MSFT,long,2026-06-17 14:10:00-04:00,383.3900146484375,2026-06-17 14:55:00-04:00,382.35561034077944,stop,-26.980470751346573,-30.980470751346573
MSFT,short,2026-05-15 10:50:00-04:00,422.17999267578125,2026-05-15 10:50:00-04:00,424.84015457517205,stop,-63.010136565939675,-67.01013656593967
MSFT,short,2026-05-29 10:10:00-04:00,441.67498779296875,2026-05-29 10:15:00-04:00,439.0200129317336,target,60.11150584962821,56.11150584962821
