period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
in-sample,g11_safe_haven,L1,3,349,136,71,0.2034383954154728,0.5,0.2892057026476578,2.0,0.18921003450135798
in-sample,g11_safe_haven,L1,5,349,136,96,0.27507163323782235,0.6470588235294118,0.386035459696582,3.0,0.29501381178875163
in-sample,g11_safe_haven,L2,1,349,32,10,0.02865329512893983,0.3125,0.05249343832020998,1.0,0.01588877855014892
in-sample,g11_safe_haven,L2,3,349,32,22,0.06303724928366762,0.625,0.11452368558042686,2.0,0.04691298697332058
in-sample,g11_safe_haven,L2,5,349,32,27,0.07736389684813753,0.6875,0.139077499414657,3.0,0.07695915400512754
in-sample,g11_safe_haven,L3,1,349,5,2,0.0057306590257879654,0.4,0.011299435028248586,2.0,0.0024826216484608032
in-sample,g11_safe_haven,L3,3,349,5,5,0.014326647564469915,0.6,0.027985074626865676,3.0,0.007429390016049919
in-sample,g11_safe_haven,L3,5,349,5,6,0.017191977077363897,0.8,0.03366058906030856,3.0,0.012351626964123286
in-sample,g11_corr_velocity,L1,1,266,136,19,0.07142857142857142,0.13970588235294118,0.0945273631840796,1.0,0.06752730883813307
in-sample,g11_corr_velocity,L1,3,266,136,51,0.19172932330827067,0.23529411764705882,0.21128948731227343,3.0,0.18921003450135798
in-sample,g11_corr_velocity,L1,5,266,136,65,0.24436090225563908,0.3235294117647059,0.27842679127725856,3.0,0.29501381178875163
in-sample,g11_corr_velocity,L2,1,266,32,7,0.02631578947368421,0.21875,0.046979865771812075,1.0,0.01588877855014892
in-sample,g11_corr_velocity,L2,3,266,32,17,0.06390977443609022,0.34375,0.10778097982708933,3.0,0.04691298697332058
in-sample,g11_corr_velocity,L2,5,266,32,22,0.08270676691729323,0.46875,0.14060502769492972,3.0,0.07695915400512754
in-sample,g11_corr_velocity,L3,1,266,5,1,0.0037593984962406013,0.2,0.007380073800738007,3.0,0.0024826216484608032
in-sample,g11_corr_velocity,L3,3,266,5,2,0.007518796992481203,0.4,0.014760147601476014,3.5,0.007429390016049919
in-sample,g11_corr_velocity,L3,5,266,5,3,0.011278195488721804,0.6,0.02214022140221402,4.0,0.012351626964123286
in-sample,g12_composite,L1,1,1000,136,109,0.109,0.8014705882352942,0.19190140845070422,1.0,0.06752730883813307
in-sample,g12_composite,L1,3,1000,136,273,0.273,0.8970588235294118,0.4186064049067418,2.0,0.18921003450135798
in-sample,g12_composite,L1,5,1000,136,380,0.38,0.9117647058823529,0.5364298724954463,3.0,0.29501381178875163
in-sample,g12_composite,L2,1,1000,32,29,0.029,0.90625,0.0562015503875969,1.0,0.01588877855014892
in-sample,g12_composite,L2,3,1000,32,74,0.074,1.0,0.1378026070763501,2.0,0.04691298697332058
in-sample,g12_composite,L2,5,1000,32,105,0.105,1.0,0.19004524886877827,3.0,0.07695915400512754
in-sample,g12_composite,L3,1,1000,5,5,0.005,1.0,0.009950248756218907,1.0,0.0024826216484608032
in-sample,g12_composite,L3,3,1000,5,12,0.012,1.0,0.023715415019762848,2.5,0.007429390016049919
in-sample,g12_composite,L3,5,1000,5,15,0.015,1.0,0.02955665024630542,3.0,0.012351626964123286
oos,g1_vix_backwardation,L1,1,131,16,9,0.06870229007633588,0.5625,0.12244897959183675,1.0,0.031936127744510934
oos,g1_vix_backwardation,L1,3,131,16,19,0.1450381679389313,0.5625,0.23061362103843558,2.0,0.09278120664341005
oos,g1_vix_backwardation,L1,5,131,16,30,0.22900763358778625,0.6875,0.3435710567412806,3.0,0.1498020300026538
oos,g1_vix_backwardation,L2,1,131,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_backwardation,L2,3,131,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_backwardation,L2,5,131,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_backwardation,L3,1,131,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_backwardation,L3,3,131,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_backwardation,L3,5,131,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_spike,L1,1,55,16,2,0.03636363636363636,0.125,0.05633802816901408,2.0,0.031936127744510934
oos,g1_vix_spike,L1,3,55,16,3,0.05454545454545454,0.1875,0.08450704225352113,3.0,0.09278120664341005
oos,g1_vix_spike,L1,5,55,16,6,0.10909090909090909,0.25,0.1518987341772152,5.5,0.1498020300026538
oos,g1_vix_spike,L2,1,55,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_spike,L2,3,55,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_spike,L2,5,55,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_spike,L3,1,55,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_spike,L3,3,55,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_spike,L3,5,55,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_momentum,L1,1,41,16,1,0.024390243902439025,0.0625,0.03508771929824562,3.0,0.031936127744510934
oos,g1_vix_momentum,L1,3,41,16,5,0.12195121951219512,0.25,0.16393442622950818,3.0,0.09278120664341005
oos,g1_vix_momentum,L1,5,41,16,7,0.17073170731707318,0.3125,0.22082018927444796,3.0,0.1498020300026538
oos,g1_vix_momentum,L2,1,41,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_momentum,L2,3,41,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_momentum,L2,5,41,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_momentum,L3,1,41,0,0,0.0,0.0,0.0,,0.0
oos,g1_vix_momentum,L3,3,41,0,0,0.0,0.0,0.0,,0.0
