symbol,side,entry_time,entry,exit_time,exit,exit_reason,net_bps
AMD,long,2021-03-08,78.02999877929688,2021-03-11,81.61885065045732,target,453.93232440145084
AMD,short,2021-04-28,88.8499984741211,2021-04-28,85.98615473263222,target,316.3234429568411
SPY,long,2021-03-08,357.1728776946545,2021-03-10,363.15491288644574,target,161.48290716814384
SPY,long,2021-05-12,383.0948540805935,2021-05-12,377.1075494625814,stop,-162.28778497642105
QQQ,long,2021-02-24,308.5855941011295,2021-02-24,313.9697198186729,target,168.4775459537129
QQQ,long,2021-03-08,298.30388481201396,2021-03-10,306.08780216084256,target,254.93918802746697
QQQ,long,2021-05-12,310.4196815194903,2021-05-14,315.7674355640985,target,166.27496718091874
JPM,long,2021-06-17,137.8318227063281,2021-06-17,133.85030843157625,stop,-294.86756313417305
JPM,short,2021-03-19,135.63793083448013,2021-03-19,132.29153708170003,target,240.71518742524378
BAC,long,2021-06-17,37.17769238660428,2021-06-17,36.088330060189406,stop,-299.0150465195058
BAC,long,2021-07-15,33.966007338713986,2021-07-19,32.51499417207641,stop,-433.1956818968614
BAC,short,2021-03-19,33.73551725903274,2021-03-23,32.817653780707694,target,266.07630204018506
GS,long,2021-03-30,290.84588730924156,2021-04-13,289.3185119628906,time,-58.51493705073273
GS,long,2021-07-20,312.08005725331765,2021-07-20,321.023176435222,target,280.5649045509233
GS,short,2021-07-14,335.5391471494226,2021-07-16,327.03997480358555,target,247.29897921127497
MS,long,2021-03-30,66.68425085885798,2021-04-13,67.41323852539062,time,103.3193156020611
MS,short,2021-03-05,69.85443892475551,2021-03-05,67.9871943221043,target,261.3050748661132
V,short,2021-03-09,213.6002596463124,2021-03-19,207.98439718398294,target,256.9145896933094
V,short,2021-06-03,220.59583179732027,2021-06-07,225.911570306268,stop,-246.97184727550624
V,short,2021-06-29,225.96138115547276,2021-07-06,231.0674137277962,stop,-231.96925838447746
MA,short,2021-06-29,357.83397328695685,2021-07-13,368.6018697325702,stop,-306.91878495221323
CVX,long,2021-06-18,85.7282492275821,2021-07-01,86.51016998291016,time,85.20922943991249
CVX,short,2021-05-11,87.75732122764643,2021-05-11,85.78498508413432,target,218.748900253664
UNH,long,2021-06-11,368.1229683501968,2021-06-18,354.75095526387935,stop,-369.24854018879415
UNH,short,2021-03-05,304.6872926744216,2021-03-05,314.25080764491275,stop,-319.87967927859694
LLY,long,2021-03-17,180.19020658605618,2021-03-24,171.7623901187046,stop,-473.71778705556824
LLY,long,2021-04-29,171.9561543206105,2021-05-03,175.4728246483029,target,198.50971014015497
JNJ,long,2021-04-14,136.27306834093326,2021-04-15,138.7683580984151,target,177.10953058156886
MRK,long,2021-05-03,60.108486082567026,2021-05-03,61.18759826543883,target,173.52742669138155
WMT,short,2021-05-19,44.003289907465046,2021-06-02,44.20344161987305,time,-51.48562455873206
COST,long,2021-03-08,301.4906971406532,2021-03-10,307.4820394161986,target,192.72395176260716
HD,long,2021-02-24,229.77453920997434,2021-02-24,222.01297819308525,stop,-343.79029841928485
HD,long,2021-06-21,269.5296061674873,2021-06-22,274.0241006522292,target,160.75327614840808
DIS,long,2021-05-12,175.20007497806066,2021-05-14,167.66654868600952,stop,-435.99560890567665
DIS,short,2021-03-10,191.30451836407877,2021-03-19,184.89574511942763,target,329.00375733177214
NKE,long,2021-03-26,120.90741019886777,2021-04-06,124.69820704924732,target,307.5289097785221
NKE,long,2021-06-21,118.97876423877896,2021-06-22,121.12111027996917,target,174.06121133437912
NKE,short,2021-03-19,128.62492668312515,2021-03-19,125.4007971026645,target,244.66133475072695
CRM,long,2021-07-20,234.64058664992768,2021-07-22,239.5240120405471,target,202.12364392462257
CRM,short,2021-06-01,233.95249710215435,2021-06-03,228.22779300793226,target,238.69514816601534
ORCL,short,2021-02-24,59.80608857017193,2021-03-01,61.58877085281576,stop,-304.07705624355754
ADBE,long,2021-02-24,463.489990234375,2021-02-24,475.204259946045,target,246.74051130524722
ADBE,long,2021-03-08,439.760009765625,2021-03-11,453.6046790012937,target,308.82328834418814
AVGO,long,2021-03-08,40.04961455461931,2021-03-08,37.92883950805144,stop,-535.5369431522435
QCOM,short,2021-02-04,133.49277962670587,2021-02-04,129.1273249038612,target,321.01804060504713
QCOM,short,2021-07-15,129.37346430743236,2021-07-15,126.73787505098598,target,197.71946214436832
QCOM,short,2021-08-03,133.67334684654367,2021-08-05,130.5997161079622,target,223.93594542897065
MU,short,2021-04-05,91.59463050999058,2021-04-14,87.57994314850448,target,432.3103397145316
INTC,long,2021-07-27,48.6108748090378,2021-08-02,49.83731705186584,target,246.29791639133748
INTC,short,2021-03-25,56.08055293081127,2021-04-05,59.35356804287722,stop,-589.6274681713638
INTC,short,2021-04-13,59.67312981404885,2021-04-19,57.81241610300366,target,305.8176835777631
NFLX,long,2021-03-08,51.44599914550781,2021-03-16,53.23373908239336,target,341.4983412858168
IWM,long,2021-03-08,205.4282902932512,2021-03-10,211.27198497327174,target,278.4639689927142
IWM,long,2021-03-26,205.43933442840785,2021-04-05,212.41992325424704,target,333.78832949693947
IWM,long,2021-05-12,203.69421791720745,2021-05-18,207.85140278757402,target,198.08948829643725
IWM,long,2021-07-09,210.63415358902026,2021-07-15,204.6861438580473,stop,-288.38581586243816
XLF,long,2021-06-17,34.15034731652003,2021-06-17,33.415383809618056,stop,-221.21406505474738
AAPL,long,2022-01-25,155.4247355135648,2022-01-26,159.84369205931444,target,278.3148827725672
AAPL,short,2021-12-02,155.19009727061072,2021-12-02,160.46296504013486,stop,-345.768313974933
MSFT,long,2021-12-20,308.3019600117902,2021-12-22,316.24907907920306,target,251.77063068651796
MSFT,long,2022-01-11,301.87678551872176,2022-01-12,309.1196446309615,target,233.92766120767283
MSFT,long,2022-01-25,280.81919810306823,2022-01-26,296.6845769938161,target,558.9677442966295
NVDA,long,2021-08-20,19.922095938403405,2021-08-20,20.59710388727347,target,332.823761795497
NVDA,long,2022-01-25,22.474999365021613,2022-01-31,24.001403710001238,target,673.156568678354
NVDA,short,2021-11-23,31.43184635765733,2021-12-06,29.78589864714848,target,517.6560690008185
AMZN,long,2022-01-25,142.24249267578125,2022-01-31,147.1694406792195,target,340.37666359436105
AMZN,short,2021-11-22,183.81900024414062,2021-11-22,179.56498584209626,target,225.42408545331895
META,long,2022-01-07,329.8434453738167,2022-01-10,314.93454840198456,stop,-457.9991887343899
META,long,2022-01-25,297.33896007040755,2022-01-31,308.6884014975538,target,375.7004480159203
GOOGL,long,2021-09-21,138.5211988911411,2021-09-24,140.76190516919988,target,155.75908785049265
GOOGL,long,2022-01-11,136.7940204323314,2022-01-12,139.95088628289486,target,224.77513480387114
GOOGL,long,2022-01-25,127.60847923176541,2022-01-26,131.32523331673556,target,285.2623132370151
